source,target,relation,weight,label
chemical:4455,disease:801,chem_disease,1.0,""
chemical:7158,disease:801,chem_disease,1.0,""
chemical:7129,disease:801,chem_disease,1.0,""
chemical:2786,disease:801,chem_disease,1.0,""
chemical:7849,disease:801,chem_disease,1.0,""
chemical:7044,disease:801,chem_disease,1.0,""
disease:801,gene:4882,disease_gene,1.0,""
disease:801,gene:1205,disease_gene,1.0,""
disease:801,gene:3987,disease_gene,1.0,""
disease:801,gene:7885,disease_gene,1.0,""
disease:801,gene:4121,disease_gene,1.0,""
disease:801,gene:2126,disease_gene,1.0,""
chemical:7158,gene:1205,chem_gene,5.0,"affects, decreases"
chemical:2786,gene:1205,chem_gene,5.0,"affects, decreases"
chemical:7158,gene:2126,chem_gene,4.0,"affects, decreases"
chemical:2786,gene:4882,chem_gene,4.0,"affects, decreases"
chemical:7129,gene:4882,chem_gene,4.0,"affects, decreases"
chemical:7849,gene:4882,chem_gene,4.0,"affects, decreases"
chemical:4455,gene:7885,chem_gene,4.0,"affects, increases"
chemical:7158,gene:3987,chem_gene,4.0,"decreases, increases"
chemical:7129,gene:3987,chem_gene,4.0,"affects, decreases"
chemical:7158,gene:4882,chem_gene,3.0,"decreases, increases"
chemical:7849,gene:1205,chem_gene,3.0,"affects, decreases"
chemical:7849,gene:4121,chem_gene,3.0,"decreases, increases"
chemical:7044,gene:3987,chem_gene,3.0,"affects, decreases"
chemical:2786,gene:2126,chem_gene,3.0,"affects, decreases"
chemical:2786,gene:4121,chem_gene,3.0,"affects, increases"
chemical:4455,gene:4882,chem_gene,3.0,"affects, decreases"
chemical:7129,gene:2126,chem_gene,3.0,"affects, increases"
chemical:4455,gene:3987,chem_gene,3.0,"affects, decreases"
chemical:4455,disease:1142,chem_disease,1.0,""
chemical:7849,disease:1142,chem_disease,1.0,""
chemical:1430,disease:1142,chem_disease,1.0,""
chemical:2662,disease:1142,chem_disease,1.0,""
chemical:2786,disease:1142,chem_disease,1.0,""
chemical:7044,disease:1142,chem_disease,1.0,""
disease:1142,gene:6503,disease_gene,1.0,""
disease:1142,gene:6726,disease_gene,1.0,""
disease:1142,gene:5686,disease_gene,1.0,""
disease:1142,gene:2377,disease_gene,1.0,""
disease:1142,gene:2743,disease_gene,1.0,""
disease:1142,gene:7655,disease_gene,1.0,""
chemical:2786,gene:2743,chem_gene,5.0,"affects, increases"
chemical:2786,gene:6503,chem_gene,5.0,"affects, decreases"
chemical:2662,gene:6726,chem_gene,5.0,"affects, decreases"
chemical:2786,gene:5686,chem_gene,5.0,"affects, decreases"
chemical:7849,gene:2377,chem_gene,5.0,"affects, decreases"
chemical:2662,gene:6503,chem_gene,5.0,"affects, decreases"
chemical:7849,gene:7655,chem_gene,5.0,"affects, decreases"
chemical:1430,gene:2377,chem_gene,5.0,"affects, increases"
chemical:7849,gene:6726,chem_gene,5.0,"affects, decreases"
chemical:4455,gene:5686,chem_gene,4.0,"affects, decreases"
chemical:2662,gene:2377,chem_gene,4.0,"affects, decreases"
chemical:2786,gene:6726,chem_gene,4.0,"decreases, increases"
chemical:7044,gene:7655,chem_gene,4.0,"affects, decreases"
chemical:7044,gene:5686,chem_gene,4.0,"affects, decreases"
chemical:4455,gene:2743,chem_gene,4.0,"affects, decreases"
chemical:1430,gene:6726,chem_gene,4.0,"affects, increases"
chemical:4455,gene:6503,chem_gene,4.0,"affects, decreases"
chemical:7849,gene:2743,chem_gene,4.0,"affects, increases"
chemical:4455,disease:426,chem_disease,1.0,""
chemical:1430,disease:426,chem_disease,1.0,""
chemical:7849,disease:426,chem_disease,1.0,""
chemical:4095,disease:426,chem_disease,1.0,""
chemical:3573,disease:426,chem_disease,1.0,""
chemical:733,disease:426,chem_disease,1.0,""
disease:426,gene:2743,disease_gene,1.0,""
disease:426,gene:6726,disease_gene,1.0,""
disease:426,gene:2377,disease_gene,1.0,""
disease:426,gene:6503,disease_gene,1.0,""
disease:426,gene:5686,disease_gene,1.0,""
disease:426,gene:3884,disease_gene,1.0,""
chemical:7849,gene:2377,chem_gene,5.0,"affects, decreases"
