disease_id,auroc,auprc,n_pos,mean_pos_score,name
642,0.993734335839599,0.9129251700680272,7,0.9595838,Ovarian Diseases
1766,0.9934782608695651,0.925,5,0.9888321,Azotemia
1423,0.9907407407407407,0.8261904761904763,5,0.9802705,Disorders of Sex Development
290,0.9883561643835616,0.7988339438339438,10,0.9131385,Personality Disorders
1080,0.987709497206704,0.8748746623746624,15,0.9218659,Psychotic Disorders
1440,0.9870967741935484,0.8600000000000001,5,0.9070021,Uterine Cervical Neoplasms
1829,0.9859437751004015,0.888888888888889,6,0.9299495,Fetal Resorption
618,0.9854368932038835,0.8446900543843268,15,0.9535654,Leukopenia
1438,0.9847869305903708,0.8160207988772372,46,0.9640621,Nausea
778,0.9842767295597484,0.8436507936507937,6,0.9319083,"Sinus Thrombosis, Intracranial"
723,0.983673469387755,0.7753968253968253,5,0.9725892,Eye Abnormalities
349,0.9836065573770492,0.8219351509057391,15,0.9586424,Angina Pectoris
1751,0.9832422586520947,0.8455603656199602,27,0.94993347,Hallucinations
1480,0.9830917874396136,0.8091010354168249,9,0.8508052,"Carcinoma, Renal Cell"
414,0.9830246913580247,0.7438492063492063,6,0.9377062,Bacteremia
952,0.9813725490196079,0.7969745527713693,34,0.89762396,"Dyskinesia, Drug-Induced"
490,0.9806856591018832,0.8239600722823845,19,0.9304595,Heart Arrest
1547,0.9804347826086957,0.800194597069597,8,0.8366669,Chorea
1237,0.980072463768116,0.7287037037037036,6,0.9020378,"Cholestasis, Intrahepatic"
483,0.9795918367346939,0.8015873015873016,6,0.84476686,Ventricular Premature Complexes
977,0.9788079470198675,0.7265578783961136,10,0.9348524,"Adenoma, Liver Cell"
798,0.9787234042553191,0.8237864474706578,19,0.9129684,Myocardial Ischemia
1205,0.9774011299435028,0.6313611725514644,14,0.94612044,Muscle Rigidity
1456,0.9769230769230769,0.8,5,0.7440853,Agricultural Workers' Diseases
590,0.9768976897689768,0.7713675213675213,6,0.96154565,Dysarthria
1501,0.976530612244898,0.7735252320778636,15,0.89393693,Sleep Initiation and Maintenance Disorders
1035,0.9764705882352941,0.5833333333333333,5,0.93216574,"Sexual Dysfunctions, Psychological"
1168,0.9759887005649718,0.6472222222222223,6,0.87283844,Head and Neck Neoplasms
1527,0.9746666666666667,0.6967316017316018,10,0.9160086,Heart Block
502,0.9745387453874539,0.7734239881850176,20,0.8121831,Adenocarcinoma
462,0.9738805970149254,0.6428113553113554,8,0.93126476,"Carcinoma, Non-Small-Cell Lung"
1149,0.9738790621143563,0.7680182341441665,52,0.79362524,Bradycardia
1302,0.9737373737373738,0.57,5,0.764403,"Arthritis, Experimental"
1840,0.9735449735449735,0.5883089133089133,6,0.95545745,"Epilepsies, Myoclonic"
1164,0.9735202492211837,0.6425315425315425,6,0.9165601,Deglutition Disorders
1182,0.9728260869565217,0.6056818181818182,8,0.7740834,Sarcoma
703,0.9727272727272727,0.6202564102564102,5,0.81305635,"Hypertension, Renal"
846,0.9725274725274725,0.7586261777438248,11,0.8960993,Coronary Artery Disease
871,0.9722047409272079,0.747901810464596,42,0.83768344,Hyperkinesis
1055,0.9718169761273209,0.8167296462969829,32,0.7798222,Cocaine-Related Disorders
1243,0.9717125382262997,0.7288152412068525,18,0.9029729,"Infertility, Male"
841,0.9717061323618701,0.7579102363047618,27,0.8361019,Drug Eruptions
360,0.9714452214452215,0.717566223955012,24,0.8322274,Glucose Intolerance
432,0.9713815789473684,0.7946740365391662,16,0.8628727,Obesity
241,0.9712885154061626,0.6830665557759152,14,0.9707429,Basal Ganglia Diseases
1526,0.9709051724137931,0.734469696969697,8,0.8301402,"Heart Defects, Congenital"
906,0.9706756756756757,0.7589166093841833,25,0.85718954,Substance Withdrawal Syndrome
1076,0.9704724409448818,0.7256721672418694,22,0.85127276,Thrombocytopenia
528,0.9700665188470067,0.688069572061667,11,0.9500719,"Lupus Erythematosus, Systemic"
62,0.9697493517718236,0.6583704700607533,13,0.9182269,"Hypotension, Orthostatic"
500,0.9694469223907226,0.7142673350545399,19,0.82533664,Skin Neoplasms
1154,0.9691808596918086,0.7848484848484849,9,0.8395943,"Pain, Postoperative"
1860,0.9686228235787707,0.7096272307120997,140,0.75236446,Chemical and Drug Induced Liver Injury
537,0.9685615848406546,0.7967770143869359,43,0.86491865,Vomiting
964,0.9685393258426966,0.61,5,0.8143188,Coronary Disease
1023,0.9683284457478006,0.7057014954742228,11,0.9323397,Dyskinesias
1802,0.9682692307692308,0.7734943977591036,8,0.834091,Glomerulonephritis
1157,0.9681159420289855,0.66005291005291,6,0.93135995,"Bronchitis, Chronic"
270,0.967816091954023,0.6602564102564104,5,0.8978895,Hematoma
1330,0.9675480769230769,0.61868894993895,8,0.7860323,Hyperprolactinemia
543,0.9675375469336671,0.7180744913464101,34,0.87450564,Catalepsy
277,0.9673399226471852,0.6616479925303456,13,0.88284105,Psychomotor Agitation
777,0.9669724770642202,0.5866666666666667,5,0.8645727,Spinal Cord Diseases
196,0.9669143469742337,0.7387238263157757,71,0.8162857,Hypotension
536,0.9668436819172114,0.7720277477434019,36,0.7903605,Heart Failure
124,0.9667986798679867,0.7559779904455468,75,0.714765,Seizures
1137,0.9661690510747115,0.7362636149325369,53,0.7607602,Pain
645,0.9660852713178294,0.5876918914418914,8,0.7120751,Thyroid Neoplasms
956,0.9660493827160493,0.6482804232804233,6,0.83390164,Congenital Abnormalities
547,0.965823002754821,0.7330793163963175,32,0.71249926,Lung Neoplasms
435,0.9657657657657658,0.7475410700410701,15,0.7664266,Ventricular Fibrillation
1643,0.9657481328869431,0.677558549876325,33,0.7324911,Fatty Liver
1797,0.9652173913043478,0.4969230769230769,5,0.7406014,Prostatic Diseases
1092,0.9651397291846731,0.6557717586807925,52,0.74958825,Breast Neoplasms
364,0.9651318378591106,0.7332107240793146,33,0.73837477,Insulin Resistance
99,0.9651257096512571,0.6618193414913476,9,0.89906,Multiple Myeloma
825,0.9650414762146606,0.6870639322536214,33,0.8132686,Diarrhea
346,0.9647814018043026,0.6995635854456301,22,0.7859119,"Mammary Neoplasms, Experimental"
1747,0.9643765903307888,0.6134868762319743,9,0.9185941,Torsades de Pointes
1318,0.9640718562874251,0.7492367996400254,12,0.85597175,Respiratory Insufficiency
1507,0.9639006094702297,0.7121784119806238,27,0.9061064,Cholestasis
1830,0.9636194029850746,0.7084783272283273,8,0.917542,Pancytopenia
1699,0.9623797025371829,0.6585120207927226,9,0.7952331,"Parkinson Disease, Secondary"
1675,0.9623015873015873,0.803936803936804,9,0.73676085,Venous Thrombosis
1329,0.9620833333333333,0.6294084931181813,20,0.8067112,Cardiotoxicity
659,0.9617876882027825,0.6979097069029312,99,0.7443326,Weight Loss
1663,0.9615384615384616,0.7903224553224553,13,0.8363036,Splenic Diseases
481,0.9615384615384615,0.4066233766233766,5,0.7379271,Rhinitis
587,0.9613333333333334,0.793067663660884,15,0.80544037,Ovarian Neoplasms
1783,0.961038961038961,0.6122818244557375,11,0.88219905,Epilepsy
666,0.9605099502487563,0.6357149126841555,16,0.88443196,"Psychoses, Substance-Induced"
172,0.9604863221884498,0.6826517465960742,14,0.8761372,Paranoid Disorders
339,0.960180125480672,0.6506222169521089,61,0.7999004,Acute Kidney Injury
1686,0.9600000000000001,0.5093939393939393,5,0.9485143,Precursor Cell Lymphoblastic Leukemia-Lymphoma
1741,0.9599673202614379,0.6570682404015737,9,0.7861323,Lymphoma
1559,0.959621773575262,0.5844055343532691,26,0.69724315,Oligospermia
